qid,axis,difficulty,abbrev_under_test,must_not_contain,design_intent,failure_mode,pass_criteria,known_good_accessions,source
hard_abbrev_standard_abbr_nsclc_scrnaseq,abbrev_standard,easy,NSCLC=non-small cell lung cancer,,none,"L2 (abbreviation expansion). Pure short-form query: the only disease token is the bare code 'NSCLC'. A system that does not expand NSCLC -> non-small cell lung cancer/carcinoma will miss the many lung adenocarcinoma/squamous datasets that never spell out the acronym, and will fail to attach the lung (UBERON:0002048) / MONDO:0005233 facet.",Top results are lung non-small cell carcinoma single-cell datasets (adenocarcinoma or squamous histology); disease facet resolves to MONDO:0005233 and tissue to lung even though the query never spells out 'lung' or 'carcinoma'.,,generated_2026_06_12
hard_abbrev_standard_abbr_hcc_pbmc,abbrev_standard,hard,HCC=hepatocellular carcinoma;PBMC=peripheral blood mononuclear cells,,none,"L2 (two stacked abbreviations in one query). 'HCC' (disease, must expand to hepatocellular carcinoma -> liver/MONDO:0007256) AND 'PBMC' (sample type, must expand to peripheral blood mononuclear cells -> blood). The trap: systems often resolve PBMC to a liver/tumor tissue facet by proximity to HCC, or treat HCC as 'head and neck' / 'hydroxychloroquine'. Sample is BLOOD, disease is LIVER cancer; both facets must coexist correctly.","Returns single-cell datasets of peripheral blood (not liver tumor tissue) drawn from hepatocellular carcinoma patients. Disease facet = MONDO:0007256 (liver), sample/tissue facet = peripheral blood, with PBMC NOT mis-mapped to liver tissue.",,generated_2026_06_12
hard_abbrev_standard_abbr_tnbc_scrnaseq,abbrev_standard,medium,TNBC=triple-negative breast cancer,,none,"L2 (abbreviation expansion with implicit receptor semantics). 'TNBC' must expand to triple-negative breast cancer (ER-/PR-/HER2-negative breast carcinoma -> breast/MONDO:0005494). A naive system indexes datasets described only as 'ER-negative PR-negative HER2-negative breast cancer' and never as 'TNBC', so without expansion recall collapses; it must also bind the breast (UBERON:0000310) tissue facet that the bare code never states.","Top results are triple-negative (ER/PR/HER2-negative) breast carcinoma single-cell datasets, including those that spell out the receptor status instead of 'TNBC'. Disease facet resolves to MONDO:0005494 and tissue to breast.",,generated_2026_06_12
hard_abbrev_standard_abbr_ipf_lung_fibrosis,abbrev_standard,medium,IPF=idiopathic pulmonary fibrosis,,none,"L2 (abbreviation expansion; non-cancer ILD). 'IPF' must expand to idiopathic pulmonary fibrosis (-> lung/MONDO:0800504). Trap 1: IPF is rarely spelled out in dataset titles, hurting recall without expansion. Trap 2: IPF can be confused with 'interstitial pulmonary fibrosis' (broader ILD) or non-medical IPF; the system must keep it to the idiopathic UIP-pattern disease and bind the lung facet that the code omits.","Returns single-nucleus / single-cell datasets of fibrotic human lung from idiopathic pulmonary fibrosis (UIP pattern), not generic interstitial lung disease unrelated to IPF. Disease facet = MONDO:0800504, tissue = lung.",,generated_2026_06_12
hard_abbrev_standard_abbr_copd_bulk_lung,abbrev_standard,medium,COPD=chronic obstructive pulmonary disease,,none,"L2 (abbreviation expansion). 'COPD' must expand to chronic obstructive pulmonary disease (-> lung/MONDO:0005002). Datasets are frequently described via constituent phenotypes ('emphysema', 'chronic bronchitis') rather than the acronym, so without expansion + synonym bridging recall drops. The bare code also carries no tissue token, so the lung (UBERON:0002048) facet must be inferred.","Top results are bulk RNA-seq of human lung from chronic obstructive pulmonary disease cohorts (including emphysema / chronic bronchitis phenotypes). Disease facet = MONDO:0005002, tissue = lung.",,generated_2026_06_12
hard_abbrev_standard_abbr_masld_nafld_liver,abbrev_standard,hard,NAFLD=non-alcoholic fatty liver disease;MASLD=metabolic dysfunction-associated steatotic liver disease,,none,"L2 (abbreviation expansion + nomenclature change). The query mixes the old code 'NAFLD' and the 2023 renamed code 'MASLD' for the SAME disease (-> liver/MONDO:0013209). A good system must recognize NAFLD and MASLD as synonyms (and bridge to 'NASH', 'fatty liver', 'hepatic steatosis') so that older datasets tagged NAFLD and newer ones tagged MASLD are both retrieved; otherwise the corpus splits across the rename and recall is halved. Liver (UBERON:0002107) facet is implicit.","Returns liver RNA-seq datasets for fatty liver disease regardless of whether they use the legacy 'NAFLD' or the current 'MASLD' label (and related NASH/steatosis terms). Disease facet collapses NAFLD and MASLD to MONDO:0013209, tissue = liver.",,generated_2026_06_12
hard_abbrev_tcga_abbr_cesc_scrna,abbrev_tcga,hard,CESC=cervical squamous cell carcinoma and endocervical adenocarcinoma,,none,"L2 TCGA code: 'CESC' is the exact gap a colleague hit. The bare 4-letter code is never spelled out, so unless the system expands CESC -> cervical squamous cell carcinoma / endocervical adenocarcinoma, BM25 and dense retrieval both miss every dataset that only says 'cervical cancer' or 'cervical squamous cell carcinoma'. Extra trap: CESC also dilutes into generic 'cervical' tokens.",Top results are scRNA-seq studies of cervical (squamous cell / endocervical) carcinoma; system must demonstrably expand CESC to cervical cancer rather than treating it as an opaque token.,,generated_2026_06_12
hard_abbrev_tcga_abbr_thca_methyl,abbrev_tcga,hard,THCA=thyroid carcinoma,,paired,"L2 TCGA code: 'THCA' must expand to thyroid carcinoma. Without expansion the system gets zero lexical overlap with 'thyroid cancer' datasets. Secondary trap: THCA visually collides with THC-A (tetrahydrocannabinolic acid) in chemistry/metabolomics corpora, so a naive embedder may pull cannabinoid studies.",Top results are methylation studies of thyroid carcinoma (ideally tumor-vs-normal); no cannabinoid/THC chemistry hits in top-10.,,generated_2026_06_12
hard_abbrev_tcga_abbr_sarc_bulk,abbrev_tcga,hard,SARC=sarcoma,,none,"L2 TCGA code: 'SARC' is one of the exact codes a colleague hit (CESC/THCA/SARC). It must expand to the sarcoma umbrella AND understand that subtype names (leiomyosarcoma, liposarcoma) are members of it. Trap: SARC is also a common gene/protein abbreviation (e.g. SARC sarco- prefixes, SARS coronavirus near-collision) so it can be mis-tokenized.","Top results are sarcoma (soft-tissue, leiomyosarcoma/liposarcoma) transcriptomics; the code SARC is expanded to the sarcoma family rather than treated as noise or confused with SARS.",,generated_2026_06_12
hard_abbrev_tcga_abbr_brca_code_vs_gene,abbrev_tcga,extreme,BRCA=breast invasive carcinoma,brca1 mutation;brca2 mutation;germline;gene mutation,none,"L2 + the headline BRCA-code-vs-BRCA-gene trap: here 'BRCA' is the TCGA cohort code for breast invasive carcinoma, NOT the BRCA1/BRCA2 tumor-suppressor genes. Systems that key on the gene meaning will surface germline-mutation/hereditary breast-ovarian studies and miss the breast-carcinoma transcriptomic cohort. The query context ('tumor cohort', 'breast carcinoma TCGA project', explicit 'not BRCA1/BRCA2') must drive disambiguation toward the disease cohort.",Top results are breast carcinoma cohort RNA-seq (TCGA-BRCA-style); top-10 must NOT be dominated by BRCA1/BRCA2 germline-mutation gene studies and must avoid the forbidden substrings.,,generated_2026_06_12
