query_id,difficulty,required_disease,required_tissue,required_cell_type,required_organism,required_modality,required_design,required_comparison_groups,required_time_treatment_or_dose,must_not_contain_or_condition,known_relevant_gse,accession_evidence_url,why_this_query_is_realistic,criteria_author,date_written,results_not_seen_yes,notes
S01,simple,Alzheimer's disease,,microglia,,single-cell RNA sequencing,,,,,,,Alzheimer's disease microglial transcriptomes are a common neurodegeneration data-reuse target,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S02,simple,KRAS-mutant lung adenocarcinoma,lung tumor,,,bulk RNA-seq,,,,,,,KRAS status is a routine molecular stratum in lung-adenocarcinoma transcriptomic studies,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S03,simple,acute lymphoblastic leukemia,,chimeric antigen receptor T cells,,single-cell transcriptomics,,,,,,,CAR-T products and patient immune cells are frequently profiled in leukemia studies,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S04,simple,rheumatoid arthritis,synovial tissue,,,gene-expression profiling,,,,,,,Synovial gene expression is a standard approach to study rheumatoid-arthritis inflammation,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S05,simple,,,,Pseudomonas aeruginosa,RNA sequencing,,,during biofilm formation,,,,Bacterial RNA-seq is commonly used to characterize transcription during biofilm formation,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S06,simple,SARS-CoV-2 infection,peripheral blood,immune cells,,single-cell profiling,,,during infection,,,,Peripheral-blood single-cell studies are widely used to characterize COVID-19 immune responses,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S07,simple,type 2 diabetes,pancreatic islets,beta cells,,transcriptomics,,,,,,,Beta-cell transcriptomes are directly relevant to type 2 diabetes pathophysiology,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S08,simple,dilated cardiomyopathy,heart,cardiomyocytes,Homo sapiens,single-nucleus RNA-seq,,,,,,,Single-nucleus profiling is well suited to adult human cardiomyocytes,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S09,simple,,cerebral cortex,neural progenitor cells,,single-cell RNA sequencing,developmental profiling,,during cerebral-cortex development,,,,Single-cell studies commonly resolve neural-progenitor states during cortical development,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
S10,simple,amyotrophic lateral sclerosis,spinal-cord tissue,,,spatial transcriptomics,,,,,,,Spatial transcriptomics can map regional molecular changes in ALS spinal cord,Hojin Lee (reviewed AI-assisted draft),2026-09-02,yes,AI-assisted draft reviewed and approved by Hojin Lee on 2026-09-02
